id,title,description,resolution,reopen_count,commit_refs
SYNC-001,Elevated failure rate on weekend sync runs,"Operations team reporting that weekend overnight sync jobs are completing with 15-20% more failed items than weekday runs. Failure count appears consistent. No additional errors visible in the job summary dashboard. Weekday runs are within expected range.",Updated sync parameters. Weekend failure rates now within expected range.,3,
SYNC-002,Products not appearing updated on storefront after sync,"Catalog team flagged that a small number of products updated in the internal system are not reflecting on the storefront. Appears to affect a consistent set of SKUs. Cannot reproduce in staging environment.",Identified and addressed.,1,e617c8b9
SYNC-003,Duplicate product entries appearing in warehouse system,"Warehouse operations team reporting that some products appear twice in their system following sync runs. Seems to affect products that were recently modified in the catalog. Estimated to be 1-2% of total catalog.",Updated sync logic.,2,5e39e0d1
SYNC-004,Overnight sync job exceeding its scheduled window,"Sync job runtime has increased significantly. With current catalog size (~12000 products) jobs are taking over three hours. Previous baseline was under 90 minutes. No errors reported — just slow.",Adjusted batch configuration. Runtime improved.,0,
SYNC-005,Garbled characters in titles and descriptions for some products,"Catalog team reporting that a subset of products are showing garbled or corrupted characters in their titles and descriptions on the storefront. Appears to affect older products. Not seen on recently added SKUs.",Added encoding handling for affected product category.,0,a398d9c0
SYNC-006,Merchant 1042 products not reflecting sync updates,"Account management team flagging that products belonging to merchant 1042 are not appearing updated on the storefront following sync runs. Merchant 7731 may be similarly affected. Other merchants appear unaffected.",Added merchant-specific routing. Both accounts confirmed syncing correctly.,0,4273c4b5
SYNC-007,Price shown on storefront does not match warehouse,"Customer service receiving reports that a product's price on the storefront differs from the price visible in the warehouse management system. Happening several times per week. Could not reproduce in staging.","Monitoring. Closed.",2,
SYNC-008,Sync job appears to have processed records twice,"Job logs indicate the sync processed the same product set twice during Tuesday night's run. Resulted in duplicate API calls logged on the warehouse side. No data corruption confirmed but unexpected behavior.",Reviewed scheduler invocation. Closed.,1,
SYNC-009,Request to increase sync throughput for catalog expansion,"Catalog will grow from approximately 12000 to 30000 products for the upcoming seasonal expansion. Current sync performance will result in jobs that exceed the available overnight window.",Reviewed current configuration against projected volume. Capacity confirmed sufficient.,0,
SYNC-010,Storefront product data lagging several hours behind warehouse,"Products updated in the warehouse system are appearing on the storefront hours later than expected. The sync job is completing successfully according to logs.",Tuned connection pool settings.,0,75a6b7c8
SYNC-011,Description fields showing formatting artifacts on storefront,"Some product descriptions are displaying strange artifacts — extra whitespace, unexpected characters — that are not present in the source catalog data. Affects a subset of products from one supplier.",Added description sanitization.,0,
SYNC-012,Intermittent timeout errors during large sync runs,"Seeing timeout errors logged against the warehouse API during runs with higher than average product counts. Happens roughly once a week and self-recovers on retry.",Increased timeout configuration and retry count.,0,f728b9a0
SYNC-013,Review sync configuration parameters and acceptable ranges,"Request from the infrastructure team to document what each sync configuration parameter does and what safe ranges are for each value.",Deferred.,0,
